year_month,precipitation
2019_1,81.9
2019_2,108.5
2019_3,214.3
2019_4,126.7
2019_5,172.0
2019_6,1.3
2019_7,35.7
2019_8,28.2
2019_9,32.8
2019_10,90.6
2019_11,137.2
2019_12,142.9
2020_1,298.2
2020_2,67.1
2020_3,25.1
2020_4,91.0
2020_5,231.6
2020_6,96.0
2020_7,49.0
2020_8,22.3
2020_9,5.1
2020_10,65.3
2020_11,129.7
2020_12,177.4
2021_1,220.7
2021_2,50.9
2021_3,156.8
2021_4,80.5
2021_5,40.1
2021_6,56.4
2021_7,49.8
2021_8,2.6
2021_9,84.4
2021_10,128.5
2021_11,147.3
2021_12,27.1
2022_1,71.5
2022_2,117.1
2022_3,375.9
2022_4,320.4
2022_5,149.6
2022_6,38.4
2022_7,25.7
2022_8,42.8
2022_9,125.0
2022_10,234.6
2022_11,67.4
2022_12,2.4
2023_1,59.8
2023_2,0.4
2023_3,116.1
2023_4,117.8
2023_5,91.1
2023_6,17.7
2023_7,65.2
2023_8,98.1
2023_9,176.8
2023_10,253.5
2023_11,400.9
2023_12,183.3
